T (K),FWHM
0.1,0.14574574574574584
4.115662650602409,0.14714714714714638
8.131325301204818,0.1485485485485487
12.146987951807228,0.14994994994994926
16.162650602409638,0.15275275275275213
20.178313253012046,0.15415415415415357
24.193975903614458,0.155555555555555
28.209638554216866,0.15695695695695644
32.225301204819274,0.15835835835835788
36.24096385542168,0.1597597597597593
40.25662650602409,0.16116116116116075
44.2722891566265,0.16256256256256219
48.287951807228914,0.16396396396396362
52.30361445783132,0.1667667667667665
56.31927710843373,0.16816816816816793
60.33493975903614,0.16956956956956937
64.35060240963854,0.1709709709709708
68.36626506024095,0.17237237237237224
72.38192771084336,0.17377377377377368
76.39759036144576,0.1751751751751751
80.41325301204817,0.1751751751751751
84.42891566265058,0.17657657657657655
88.44457831325299,0.17937937937937942
92.4602409638554,0.18078078078078086
96.47590361445782,0.1821821821821823
100.49156626506023,0.1821821821821823
104.50722891566264,0.18358358358358373
108.52289156626505,0.18498498498498428
112.53855421686745,0.1863863863863866
116.55421686746986,0.18778778778778804
120.56987951807227,0.1891891891891886
124.58554216867468,0.19059059059059003
128.6012048192771,0.19199199199199146
132.6168674698795,0.19199199199199146
136.6325301204819,0.19479479479479433
140.64819277108433,0.19619619619619577
144.66385542168672,0.19619619619619577
148.67951807228914,0.1975975975975972
152.69518072289154,0.19899899899899864
156.71084337349396,0.20040040040040008
160.72650602409635,0.20180180180180152
164.74216867469877,0.20320320320320295
168.75783132530117,0.20320320320320295
172.7734939759036,0.2046046046046044
176.78915662650599,0.20740740740740726
180.8048192771084,0.20740740740740726
184.8204819277108,0.2088088088088087
188.83614457831322,0.2088088088088087
192.85180722891565,0.21161161161161157
196.86746987951804,0.213013013013013
200.88313253012046,0.213013013013013
204.89879518072286,0.21441441441441444
208.91445783132528,0.21581581581581588
212.93012048192767,0.21721721721721732
216.9457831325301,0.21861861861861875
220.9614457831325,0.21861861861861875
224.9771084337349,0.22142142142142163
228.9927710843373,0.22142142142142163
233.00843373493973,0.22282282282282306
237.02409638554212,0.2242242242242245
241.03975903614455,0.22562562562562594
245.05542168674694,0.22562562562562594
249.07108433734936,0.22702702702702737
253.08674698795176,0.2284284284284288
257.1024096385542,0.22982982982983025
261.1180722891566,0.23123123123123168
265.13373493975905,0.23263263263263312
269.14939759036145,0.23403403403403367
273.16506024096384,0.23403403403403367
277.18072289156623,0.23683683683683743
281.1963855421687,0.23683683683683743
285.2120481927711,0.23823823823823798
289.2277108433735,0.2396396396396394
293.24337349397587,0.24104104104104174
297.2590361445783,0.24104104104104174
301.2746987951807,0.24244244244244317
305.2903614457831,0.24384384384384372
309.3060240963855,0.24384384384384372
313.32168674698795,0.2466466466466466
317.33734939759034,0.2466466466466466
321.35301204819274,0.24804804804804803
325.3686746987952,0.24944944944944947
329.3843373493976,0.2508508508508509
333.4,0.25225225225225234
337.41566265060237,0.2536536536536538
341.4313253012048,0.2536536536536538
345.4469879518072,0.25645645645645665
349.4626506024096,0.25645645645645665
353.478313253012,0.2578578578578581
357.49397590361446,0.2592592592592595
361.50963855421685,0.2592592592592595
365.52530120481924,0.2620620620620615
369.54096385542164,0.2620620620620615
373.5566265060241,0.26346346346346383
377.5722891566265,0.26486486486486527
381.5879518072289,0.26486486486486527
385.6036144578313,0.26766766766766725
389.6192771084337,0.26766766766766725
393.6349397590361,0.270470470470471
397.6506024096385,0.270470470470471
401.66626506024096,0.27187187187187156
405.68192771084335,0.273273273273273
409.69759036144575,0.273273273273273
413.71325301204814,0.27467467467467443
417.7289156626506,0.27607607607607587
421.744578313253,0.2774774774774773
425.7602409638554,0.27887887887887874
429.7759036144578,0.2802802802802802
433.7915662650602,0.2802802802802802
437.8072289156626,0.28308308308308305
441.822891566265,0.28308308308308305
445.8385542168674,0.2844844844844845
449.85421686746986,0.2858858858858859
453.86987951807225,0.28728728728728736
457.88554216867465,0.28728728728728736
461.9012048192771,0.2886886886886888
465.9168674698795,0.29009009009009024
469.9325301204819,0.29009009009009024
473.9481927710843,0.2928928928928931
477.96385542168673,0.2928928928928931
481.9795180722891,0.29429429429429455
485.9951807228915,0.295695695695696
490.0108433734939,0.2970970970970974
494.02650602409636,0.29849849849849885
498.04216867469876,0.2998998998999003
502.05783132530115,0.3013013013013017
506.07349397590355,0.3013013013013017
510.089156626506,0.3041041041041046
514.1048192771084,0.3041041041041046
518.1204819277108,0.30550550550550604
522.1361445783132,0.3069069069069075
526.1518072289156,0.3083083083083089
530.1674698795181,0.3083083083083089
534.1831325301205,0.30970970970971035
538.1987951807229,0.3111111111111118
542.2144578313253,0.3125125125125132
546.2301204819277,0.31391391391391466
550.24578313253,0.3153153153153152
554.2614457831324,0.31671671671671664
558.2771084337348,0.31671671671671664
562.2927710843373,0.3181181181181181
566.3084337349397,0.3195195195195204
570.3240963855421,0.32092092092092095
574.3397590361445,0.3223223223223233
578.3554216867469,0.3223223223223233
582.3710843373493,0.32512512512512437
586.3867469879517,0.32512512512512437
590.4024096385542,0.3265265265265267
594.4180722891566,0.32792792792792724
598.433734939759,0.3293293293293287
602.4493975903614,0.330730730730731
606.4650602409638,0.33213213213213155
610.4807228915662,0.33213213213213155
614.4963855421686,0.3349349349349344
618.512048192771,0.3349349349349344
622.5277108433735,0.33633633633633586
626.5433734939759,0.3377377377377373
630.5590361445783,0.33913913913913873
634.5746987951807,0.34054054054054017
638.5903614457831,0.3419419419419416
642.6060240963855,0.3419419419419416
646.6216867469878,0.3447447447447445
650.6373493975904,0.3461461461461459
654.6530120481927,0.3461461461461459
658.6686746987951,0.34754754754754735
662.6843373493975,0.3489489489489488
666.6999999999999,0.3503503503503502
670.7156626506023,0.35175175175175166
674.7313253012047,0.3531531531531531
678.7469879518071,0.3531531531531531
682.7626506024096,0.35455455455455454
686.778313253012,0.3573573573573574
690.7939759036144,0.3573573573573574
694.8096385542168,0.35875875875875884
698.8253012048192,0.3601601601601603
702.8409638554216,0.3615615615615617
706.856626506024,0.3615615615615617
710.8722891566265,0.3643643643643646
714.8879518072289,0.365765765765766
718.9036144578313,0.365765765765766
722.9192771084337,0.3671671671671666
726.9349397590361,0.3685685685685689
730.9506024096385,0.36996996996996945
734.9662650602409,0.3713713713713709
738.9819277108433,0.3727727727727732
742.9975903614458,0.37417417417417376
747.0132530120482,0.3755755755755761
751.0289156626505,0.3755755755755761
755.0445783132529,0.37697697697697663
759.0602409638553,0.3797797797797795
763.0759036144577,0.38118118118118094
767.0915662650601,0.3825825825825824
771.1072289156626,0.3825825825825824
775.122891566265,0.3839839839839838
779.1385542168674,0.38538538538538525
783.1542168674698,0.3867867867867867
787.1698795180722,0.38958958958958956
791.1855421686746,0.38958958958958956
795.201204819277,0.390990990990991
799.2168674698794,0.39239239239239243
803.2325301204819,0.39379379379379387
807.2481927710843,0.3951951951951953
811.2638554216867,0.3951951951951953
815.2795180722891,0.39659659659659674
819.2951807228915,0.3993993993993996
823.3108433734939,0.40080080080080105
827.3265060240963,0.4022022022022025
831.3421686746987,0.4036036036036039
835.3578313253012,0.40500500500500536
839.3734939759036,0.40500500500500536
843.389156626506,0.4064064064064068
847.4048192771083,0.40780780780780823
851.4204819277107,0.40920920920920967
855.4361445783131,0.4106106106106102
859.4518072289155,0.413413413413414
863.467469879518,0.4148148148148145
867.4831325301204,0.41621621621621685
871.4987951807228,0.4176176176176174
875.5144578313252,0.4176176176176174
879.5301204819276,0.41901901901901883
883.54578313253,0.42042042042042027
887.5614457831324,0.4218218218218217
891.5771084337348,0.42322322322322314
895.5927710843373,0.4246246246246246
899.6084337349397,0.426026026026026
903.6240963855421,0.42742742742742745
907.6397590361445,0.4288288288288289
911.6554216867469,0.4302302302302303
915.6710843373493,0.4330330330330332
919.6867469879517,0.43443443443443464
923.7024096385542,0.43583583583583607
927.7180722891566,0.4372372372372375
931.733734939759,0.43863863863863894
935.7493975903614,0.4400400400400404
939.7650602409637,0.4414414414414418
943.7807228915661,0.44284284284284325
947.7963855421685,0.4442442442442447
951.8120481927709,0.4456456456456461
955.8277108433734,0.44704704704704756
959.8433734939758,0.4484484484484481
963.8590361445782,0.44984984984985044
967.8746987951806,0.451251251251251
971.890361445783,0.4526526526526533
975.9060240963854,0.45405405405405386
979.9216867469878,0.4554554554554562
983.9373493975903,0.45685685685685673
987.9530120481927,0.45825825825825817
991.9686746987951,0.4596596596596596
995.9843373493975,0.46106106106106104
1000.0,0.4624624624624625
